"externalId";"name";"code";"active";"countryExternalId"
"010000";"Aveiro";"010000";"true";"PRT"
"020000";"Beja";"020000";"true";"PRT"
"030000";"Braga";"030000";"true";"PRT"
"080000";"Faro";"080000";"true";"PRT"
"180000";"Viseu";"180000";"true";"PRT"
"060000";"Coimbra";"060000";"true";"PRT"
"110000";"Lisboa";"110000";"true";"PRT"
"050000";"Castelo Branco";"050000";"true";"PRT"
"400000";"Açores";"400000";"true";"PRT"
"140000";"Santarém";"140000";"true";"PRT"
"130000";"Porto";"130000";"true";"PRT"
"100000";"Leiria";"100000";"true";"PRT"
"070000";"Évora";"070000";"true";"PRT"
"160000";"Viana do Castelo";"160000";"true";"PRT"
"150000";"Setúbal";"150000";"true";"PRT"
"040000";"Bragança";"040000";"true";"PRT"
"300000";"Madeira";"300000";"true";"PRT"
"090000";"Guarda";"090000";"true";"PRT"
"120000";"Portalegre";"120000";"true";"PRT"
"170000";"Vila Real";"170000";"true";"PRT"